node_id,applicant_name,cluster
0,,7
1,03 tron—translationale onkologie an der univ der johannes gutenberg—universitaet mainz,7
2,10x genomics inc,7
3,2seventy bio inc,6
4,a and science invest ab,6
5,a3d gmbh,6
6,aadigen llc,6
7,aagaard lars,1
8,aalto univ foundation sr,1
9,aartsma-rus annemieke,0
10,abalos therapeutic gmbh,6
11,abbvie deutschland,7
12,abbvie inc,7
13,abdollahi amir,9
14,abela irene,6
15,abgenix inc,4
16,abgenomics coop u a,7
17,abid amr,9
18,abivax,1
19,ablynx nv,7
20,aboody karen s,4
21,abrahamsen niels,2
22,abresearch s r l,7
23,abtco b v,6
24,abviris deutschland gmbh,7
25,acad ziekenhuis leiden a/u leiden uni medical ctr,7
26,acad zikenhuis leiden,7
27,academisch ziekenhuis groningen,6
28,academisch ziekenhuis leiden,0
29,accanis biotech f and e gmbh and co kg,7
30,acebo pais paloma,4
31,acerta pharma bv,7
32,acerta pharma llc,7
33,aceto nicola,2
34,achsel tilmann,9
35,acres bruce,1
36,active biotech ab,9
37,active motif,6
38,acunzo julie,7
39,adamed sp zoo,2
40,adami roger c,1
41,adiu tide pharmaceuticals gmbh,2
42,admyre charlotte,6
43,advanced accelerator applic,1
44,advanced accelerator applications s a,7
45,advanced in vitro cell tech,6
46,advanced res and tech inst,4
47,aelin therapeutic,6
48,aerek barttomie maciej,9
49,affibody ab,7
50,affilogic,6
51,affinito alessadra,6
52,agami reuven,1
53,agas dimitrios,7
54,agatsuma toshinori,0
55,agency for science tech and research astarstar,7
56,agency science tech and res,7
57,agronomique inst nat rech,9
58,ags m sas,6
59,ags therapeutic sas,6
60,aharinejad seyedhossein,4
61,aharoni amir,6
62,ahmadvand davoud,1
63,ahmed kariem,1
64,ahonen marko,2
65,ahonen matti,1
66,ahorn horst,6
67,aicuris gmbh and co kg,2
68,aidinis vassilios,1
69,aigle bertrand,9
70,ait austrian inst tech gmbh,7
71,ait-si-ali slimane,8
72,akhade vijay suresh,7
73,al-mahmood salman,2
74,ala-aho risto,4
75,alauddin mian,8
76,alberti saverio,2
77,albumedix as,7
78,albumedix ltd,7
79,alderaan biotechnology,7
80,alemany ramon,9
81,alexander knuth,4
82,algate paul a,6
83,ali mohamad moustafa mahmoud,7
84,alia therapeutic s r l,7
85,alitalo kari,0
86,alk abello as,1
87,alkermes pharma ireland ltd,6
88,allan elizabeth,7
89,allen danny,9
90,allgayer heike,6
91,alligator bioscience ab,7
92,allory yves,1
93,alma mater studiorum – univ di bologna,6
94,alma mater studiorum—universita' di bologna,6
95,almog nava,9
96,alnylam europe ag,7
97,alnylam pharmaceuticals inc,8
98,alonso-bedate carlos,0
99,altevogt peter,1
100,altheia science s r l,6
101,altrabio,1
102,alvarez carlos canto,9
103,alvarez eva,1
104,amarna holding b v,6
105,amendola mario,4
106,amgen fremont inc,1
107,amgen inc,2
108,amgen res munich gmbh,7
109,amici augusto,8
110,amin niranjana d,6
111,amson robert,9
112,amunix pharmaceuticals inc,6
113,an individual,9
114,anaconda pharma,6
115,andersen jan terje,7
116,andersen mikkel h,1
117,andersen mikkel holmen,4
118,andersson john,1
119,andersson patrik,9
120,andre fabrice,4
121,andreakos evangelos,7
122,andreasen peter a,1
123,andreeff michael,6
124,andremacon s r l,6
